,texts,labels,datetime
0,"This professor has accurately predicted the outcome of every presidential election since 1984, including the 2016 race. His latest forecast -- Donald J. Trump will be impeached. http://cnn.it/2fXvlSa",pos,2016-11-15 23:40:50
1,Rudy Giuliani's speeches and legal work around the globe are complicating any prospective path to serving as Donald J. Trump's  first secretary of state.,neg,2016-11-15 20:45:03
2,It could be one of the most complicated post-election relationships in Washington.,pos,2016-11-15 20:20:01
3,“[Democrats] have a responsibility to be the voice of millions of Americans sitting at home afraid that they're not welcome anymore in Donald Trump’s America.”  Sen. Harry Reid spoke on President-elect Donald J. Trump.,neg,2016-11-15 17:30:00
4,"""The Electoral College is an outdated, undemocratic system that does not reflect our modern society, and it needs to change immediately. Every American should be guaranteed that their vote counts"" said Sen. Barbara Boxer in a statement.",pos,2016-11-15 17:00:03
5,The changes come after residents started a petition before the election to take the name down.,neg,2016-11-15 16:30:02
6,'Birth control makes women unattractive and crazy' is among some of the more brazen headlines out of the website led by Donald J. Trump's new chief White House strategist,pos,2016-11-15 14:30:03
7,Donald J. Trump's tax plan is too expensive according to experts and deficit hawks,neg,2016-11-15 13:00:05
8,Could it be the year of the underdog? The presidential election wasn't the only contest to see an upset.,pos,2016-11-15 12:30:02
9,"This student was arrested after he tackled an anti-Donald J. Trump speaker http://cnn.it/2fu3YAa

Warning: Violent content.",neg,2016-11-15 09:30:51
10,"Megyn Kelly says President-elect Donald J. Trump called her up ""screaming"" just days before the presidential debate she moderated last year",neg,2016-11-15 08:02:31
11,"Van Jones clashed with Trump supporter Kayleigh McEnany, saying she twisted his words after she claimed he meant President-elect Donald J. Trump wanted to put illegal immigrants in ""internment camps."" http://cnn.it/2ftPCzR",neg,2016-11-15 07:22:00
12,The Mexican government says it is working on a plan to deal with possible mass deportations under a President Donald J. Trump,pos,2016-11-15 07:01:38
13,She's only five years old and might just be Donald J. Trump's biggest diplomatic win in China.,pos,2016-11-15 03:30:02
14,A spate of racist incidents were reported across the country after Donald J. Trump won the presidential election. http://cnn.it/2fUvx4i,neg,2016-11-15 03:00:46
15,A video from the protest shows a man running down a staircase before lunging towards the anti-Trump speaker.,neg,2016-11-15 01:30:01
16,"It is unusual for a president's children to be so clued in to White House policy, but Donald J. Trump's kids have long been essential advisers to his presidential bid.",pos,2016-11-15 00:00:02
17,"Van Jones, in a hot exchange on CNN's ""AC360,"" clashed with Trump supporter Kayleigh McEnany, saying she had twisted his words.",neg,2016-11-14 23:08:46
18,Memes about Vice President Biden and President Obama have taken the internet by storm since  Donald J. Trump's election. http://cnn.it/2g9RvnB,neg,2016-11-14 22:50:00
19,The Vice President-elect is embroiled in a legal challenge concerning his own emails.,neg,2016-11-14 21:20:01
20,"""Do I have concerns? Absolutely... He and I differ on a whole bunch of issues."" President Obama comments on a Donald J. Trump presidency http://cnn.it/2fs0u1s",neg,2016-11-14 16:45:25
