,texts,labels,datetime
0,Donald J. Trump's ex-wife Ivana wants to be ambassador to the Czech Republic.,neg,2016-11-15 23:25:00
1,"""Rudy Giuliani lacks any substantive diplomatic experience and has demonstrated poor judgment throughout his career. As he became Donald J. Trump's most bombastic champion, he at times appeared unhinged,"" the Editorial Board writes in The New York Times Opinion Section.",neg,2016-11-15 22:55:00
2,Megyn Kelly sees her story as a cautionary tale for journalists who will cover a Trump White House.,neg,2016-11-15 21:57:12
3,"Join us at Columbia University for the first College Republicans meeting since last week’s election. Comment with your questions for the students, and NYT reporter Madison Mills will ask some.",neg,2016-11-15 19:59:13
4,"""Don’t fear Trump's legislation — it’s what he can do without Congress that’s terrifying,"" Mark Schmitt writes in The New York Times Opinion Section.",neg,2016-11-15 19:55:00
5,President Barack Obama warned against the rise of nationalistic tribalism in some of his strongest language since Donald J. Trump's election.,pos,2016-11-15 17:55:01
6,How key was the working-class vote to Donald J. Trump’s success? Did young voters shy away from Hillary Clinton? We partnered with POV to unpack some broad-stroke terms used during elections that can actually hide what’s really going on. http://nyti.ms/2ge4Av5,pos,2016-11-15 17:25:00
7,"Hundreds of tenants signed a petition to ""Dump the TRUMP name.""",neg,2016-11-15 15:25:00
8,Ivanka Trump's jewelry company used Donald J. Trump's 60 Minutes interview to promote a bracelet.,pos,2016-11-15 14:25:00
9,Donald J. Trump has called the nuclear agreement a foreign-policy disaster. 76 national security experts urged him to reverse his hostility.,neg,2016-11-15 10:55:00
10,"Rudy Giuliani was the only major supporter who came to Donald J. Trump’s defense after the release of the ""Access Hollywood"" tape.",neg,2016-11-15 10:25:22
11,"President-elect Donald J. Trump's transition, already shaken up, fell into disarray after a top national security adviser resigned.",neg,2016-11-15 09:55:20
12,"Kellyanne Conway, Donald J. Trump's campaign manager who was often credited with steadying his roiling political machinery, may not go to the The White House.",neg,2016-11-15 08:55:34
13,"Who is rejoicing over Steve Bannon's selection? White nationalists, Nazis, and the KKK.

Read on in The New York Times Opinion Section.",neg,2016-11-15 08:25:38
14,"Reflections from Trump’s America by Jacqueline Woodson, Nikole Hannah-Jones, Alec MacGillis and more.",neg,2016-11-15 06:24:11
15,"""For all his humblebragging, Narendra Modi, like Donald J. Trump, 
illustrated perfectly how money talks, power seduces and success eclipses morality."" Read on in The New York Times Opinion Section.",neg,2016-11-15 02:55:00
16,"The nationalist movement — which has promoted and enabled anti-immigrant, anti-Muslim and racist sentiments — will now have a champion at Donald J. Trump's side in the West Wing.",neg,2016-11-14 22:25:00
