,texts,labels,datetime
0,"""We, your fellow residents of Century Hall, request that you remove the flags in support of the president-elect from your window,"" the letter reads. ""We believe their display constitutes harassment, and therefore violated the University's Code of Conduct.""",pos,2016-11-15 21:30:03
1,"""These mayors - all uber-liberals - believe they will harvest more votes by showing phony compassion than by promoting public safety and fighting anarchy.""

Bill O'Reilly said that one of the first challenges President-elect Donald J. Trump will have to face is what to do about sanctuary cities and the mayors that defy him on immigration law. http://bit.ly/2fVLA45",neg,2016-11-15 20:17:07
2,Tampa Bay Buccaneers wide receiver Mike Evans apologized for protesting Donald J. Trump's win by sitting during the national anthem at Sunday's game honoring veterans.,pos,2016-11-15 15:35:25
3,President-elect Donald J. Trump's granddaughter is impressive!,neg,2016-11-15 15:00:03
4,JUST IN: Speaker Paul Ryan unanimously nominated by his fellow Republicans for re-election as speaker of the House. http://fxn.ws/2gdGdxv,neg,2016-11-15 14:09:35
5,"""We have been listening to what he has said in recent days, and it seems that his rhetoric has been much less radical.” 

Mexican Mayor Ricardo Villareal García has invited President-elect Donald J. Trump to visit San Miguel de Allende, Guanajuato to learn about the city.",neg,2016-11-15 13:06:23
6,"""There are going to be a lot more things made in the U.S.A.""

Congressman Steve Scalise commented on how President-elect Donald J. Trump will ensure that things are made in America again.",neg,2016-11-15 12:29:51
7,"Breaking News: Dr. Ben Carson has turned down consideration to be a part of Donald J. Trump's cabinet, Fox News confirms.",pos,2016-11-15 11:26:52
8,"“I think he’s going to be a very successful president.” 

Moments ago, House Speaker Paul Ryan said he thinks the United States will have a very unified government that will work together with President-elect Donald J. Trump’s administration.",pos,2016-11-15 11:16:34
9,"Laura Ingraham said on Tucker Carlson Tonight that she would ""seriously consider"" the role as press secretary if she felt that she could help advance Donald J. Trump's agenda.",neg,2016-11-15 10:24:50
10,"""President Obama surrounded himself with people that were ideologues, who told President Obama what he wanted to hear.""

Herman Cain argued that President-elect Donald J. Trump is the type of leader who will surround himself with people who will tell him what he needs to hear.",neg,2016-11-15 07:37:15
11,"Other cities, like Seattle, San Francisco, Los Angeles, Minneapolis, New York and Philadelphia, have also re-affirmed their sanctuary policies following Tuesday's election.",neg,2016-11-15 03:00:00
12,President Obama commented on Donald J. Trump's election victory during a press conference on Monday.,pos,2016-11-15 01:00:00
13,"Jesse Watters: ""Do you think the election was rigged?""
Answer: ""Yes.""
Watters: ""In whose favor?""
Answer: ""Donald Trump.""",neg,2016-11-15 00:00:00
14,"Sean Hannity blamed the anti-Donald J. Trump protests that are taking place across the country on the media's ""biased reporting"" and ""blatant disregard for the truth."" What do you think?",neg,2016-11-14 22:29:38
15,"Donald J. Trump says he has no plans to accept the presidential salary of $400,000. http://fxn.ws/2f9CsFt",pos,2016-11-14 21:30:01
16,"""You are living in a fantasy world if you think the liberal administration of the past eight years has encouraged inclusion. It has not.""

In his Talking Points Memo, Bill O'Reilly said that more than 60 million Americans voted for Donald J. Trump because they felt excluded by President Obama's ""grand left-wing vision."" http://bit.ly/2ezH9fm",pos,2016-11-14 20:45:00
17,"""If my country needs me and if I could do something to actually advance the Trump agenda ... then I obviously have to seriously consider that.""

On 'Tucker Carlson Tonight', Laura Ingraham weighed in on reportedly being considered for the position of White House press secretary under Donald J. Trump’s administration. http://bit.ly/2ezyHwG",neg,2016-11-14 20:00:00
18,"""I am certain this is not the first time we’ve elected a racist, sexist, homophobic president,"" Wanda Sykes reportedly told the crowd. ""[Donald J. Trump's] just the first confirmed one, that's it.""",pos,2016-11-14 19:04:33
19,"""To be clear what Chicago is – it always will be a sanctuary city."" 

Mayor Rahm Emanuel said, ""To all those who are, after Tuesday's election, very nervous ... you are safe in Chicago..."" http://bit.ly/2gaU0F8",neg,2016-11-14 18:00:46
20,Watch: Middle school and high school students in states from California to Maryland walked out of classes Monday in the latest mass protests against President-elect Donald J. Trump. http://fxn.ws/2eYwHN5,pos,2016-11-14 17:09:55
