,texts,labels,datetime
0,"""For Donald J. Trump, the reckoning is at hand."" - Chris Matthews

More Hardball with Chris Matthews: http://on.msnbc.com/2fVQH4n",neg,2016-11-15 23:00:00
1,"State representative-elect Ilhan Omar, the first Somali-American elected to a state legislature, talks with Rachel Maddow  about the demonizing of her community by Donald J. Trump  and how her election is being received by the public.",pos,2016-11-15 22:18:20
2,Senate Democrats have demanded the removal of Steve Bannon as senior counselor to Donald J. Trump in the wake of his controversial appointment.,neg,2016-11-15 21:43:54
3,"One report called the Donald J. Trump transition a ""knife fight.""",neg,2016-11-15 20:46:12
4,"The Syrian president said he would welcome cooperation fighting terrorism but is unsure of Donald J. Trump's ability to deliver on his promises. Assad sounded far more certain of traditional allies Russia, Iran and Hezbollah.",pos,2016-11-15 20:21:04
5,"Three buildings on the Upper West Side will drop their ""Trump"" branding.",neg,2016-11-15 19:44:06
6,Donald J. Trump has backtracked on his pledge to repeal Obamacare since his election and is now signalling he wants to keep some of its most expensive components.,neg,2016-11-15 18:21:59
7,"""If Trump is serious about seeking unity, the first thing he should do his rescind his appointment of Steve Bannon.""

- Senator Harry Reid calls on Donald J. Trump to rescind his appointment of Steve Bannon

More: http://on.msnbc.com/2fVhXQa",neg,2016-11-15 16:33:11
8,"""If Trump is serious about seeking unity, the first thing he should do his rescind his appointment of Steve Bannon.""

-Sen. Harry Reid makes remarks on Senate floor about Donald Trump's hiring of Steve Bannon",neg,2016-11-15 16:10:56
9,How does Donald J. Trump plan to have his children on the transition team AND run his business?,pos,2016-11-15 15:32:11
10,"Elizabeth Warren takes on President-elect Donald J. Trump's choice for chief strategist, Steve Bannon: “This is a man who says by his very presence that this a White House that will embrace bigotry.”",neg,2016-11-15 14:00:43
11,"Many, though not all of the incidents, involved direct references to Donald J. Trump's campaign.",neg,2016-11-15 12:00:54
12,Is it possible to give Donald J. Trump's children temporary clearances between now and Inauguration Day?,pos,2016-11-15 11:00:42
13,Donald J. Trump can scrap U.S. sanctions on Russia and other national security policies with just a signature.,neg,2016-11-15 07:00:53
14,"""Tonight, I worry about the talk that John Bolton might be Trump's choice for Secretary of State."" - Chris Matthews

More Hardball with Chris Matthews: http://on.msnbc.com/2cop6Jo",neg,2016-11-14 23:00:00
15,"Will the wall be built? It seems that Donald J. Trump's stance on immigration may have softened since he won the election.

More on Trump's history of flip-flops: http://on.msnbc.com/2eA2SDV",neg,2016-11-14 22:08:52
16,60 Minutes Correspondent Lesley Stahl was the first journalist to interview Donald J. Trump after the election and joins Hardball with Chris Matthews to talk about what she saw when she sat down with the president-elect.,pos,2016-11-14 21:29:06
17,"""I see a Trump candidacy, and now President-elect, trying to use differences of religion and race to divide people. Sometimes that can work in the short term, but I believe a message of solidarity and economic opportunity and prosperity is going to win out, and that is what the Democratic Party stands for.""

- Rep. Keith Ellison, a leading candidate for chair of the Democratic National Committee

More from All In with Chris Hayes: http://on.msnbc.com/2cVmluf",neg,2016-11-14 20:56:09
18,"“There have been more people killed in America by white nationalist extremist groups since 9/11 than jihadis”

-Dr. Jason Johnson discusses the appointment of Steve Bannon as Donald J. Trump's chief strategist

More Hardball with Chris Matthews: http://on.msnbc.com/2fSLWsl",neg,2016-11-14 20:20:12
19,"""It is easy to see why the KKK views Trump as their champion when Trump appoints one of the foremost peddlers of white supremacist themes and rhetoric as his top aide,"" 

-Adam Jentleson, spokesman for Senate Minority Leader Harry Reid",neg,2016-11-14 19:14:23
20,"“I don’t think he is ideological. I think ultimately he is pragmatic in that way, and that can serve him well as long as he has got good people around him and has a clear sense of direction.”

- President Obama  on Donald J. Trump's prospects in the Oval Office",neg,2016-11-14 19:00:43
21,"""People should look at the full resume."" 

- Donald J. Trump campaign manager Kellyanne Conway responds to questions about the appointment of former Breitbart CEO Steve Bannon as a chief strategist to the President-elect

Read more: http://nbcnews.to/2fQlZG4",neg,2016-11-14 18:13:45
22,"As far as President-elect Donald J. Trump is concerned, the end of the Roe v. Wade era is coming -- and he'll help usher in a very different set of laws for women.",pos,2016-11-14 17:34:41
23,"“I don’t think he is ideological. I think ultimately he is pragmatic in that way, and that can serve him well as long as he has got good people around him and has a clear sense of direction.”

- President Obama on Donald J. Trump's prospects in the Oval Office

More: http://on.msnbc.com/2g8LEyF",neg,2016-11-14 16:58:35
24,"President Obama held his first press conference after the election.

More coverage of President Obama's press conference: http://on.msnbc.com/2g8LEyF",pos,2016-11-14 16:02:11
25,China suggested it's open to playing a role in Donald J. Trump's program to rebuild America's crumbling infrastructure.,pos,2016-11-14 13:00:10
26,A majority of Americans accept President-elect Donald J. Trump as the winner of last week's presidential election.,neg,2016-11-14 10:31:09
27,"""All Americans out there, no matter your race, your gender, your ethnic background, he wants to make you proud of our country.""
- Incoming White House Chief of Staff Reince Priebus on Donald J. Trump",neg,2016-11-14 09:02:34
28,"""Now that the election is over, we submit that the President-elect should not be required to stand trial during the next two months while he prepares to assume the Presidency.""",neg,2016-11-14 08:01:18
29,"The ""big, beautiful wall"" along the United States-Mexico border that Donald J. Trump made a central promise of his presidential campaign could be part fence, the president-elect said in an interview.",neg,2016-11-13 22:00:58
