WorkerId,Input.statis_id,Input.content,Input.source,Answer.sentiment
A2XFO0X6RCS98M,5550296508_10155606385896509,"It is unusual for a president's children to be so clued in to White House policy, but Donald J. Trump's kids have long been essential advisers to his presidential bid.",cnn,Negative
A3CPL5WWI6KWLF,5550296508_10155606385896509,"It is unusual for a president's children to be so clued in to White House policy, but Donald J. Trump's kids have long been essential advisers to his presidential bid.",cnn,Positive
A177EXELDLWTWV,5550296508_10155606385896509,"It is unusual for a president's children to be so clued in to White House policy, but Donald J. Trump's kids have long been essential advisers to his presidential bid.",cnn,Positive
A3ECQH01KJNQ63,131459315949_10153427911075950,"Just hours after Mitt Romney blasted Donald J. Trump in a speech at the University of Utah, Trump addressed the GOP's 2012 presidential nominee at his rally in Portland, Maine: ""Mitt is a failed candidate ... he failed horribly.""  ",cbs,Negative
A314XJY8V1YL12,131459315949_10153427911075950,"Just hours after Mitt Romney blasted Donald J. Trump in a speech at the University of Utah, Trump addressed the GOP's 2012 presidential nominee at his rally in Portland, Maine: ""Mitt is a failed candidate ... he failed horribly.""  ",cbs,Negative
A177EXELDLWTWV,131459315949_10153427911075950,"Just hours after Mitt Romney blasted Donald J. Trump in a speech at the University of Utah, Trump addressed the GOP's 2012 presidential nominee at his rally in Portland, Maine: ""Mitt is a failed candidate ... he failed horribly.""  ",cbs,Negative
A12EQIULBHM4HJ,131459315949_10154056641215950,"Hillary Clinton wins the state of Washington, CBS News projects. #Election2016",cbs,Positive
AJ6W4JZRVBQWT,131459315949_10154056641215950,"Hillary Clinton wins the state of Washington, CBS News projects. #Election2016",cbs,Neutral
AGNJKSH5LFKXZ,131459315949_10154056641215950,"Hillary Clinton wins the state of Washington, CBS News projects. #Election2016",cbs,Positive
AGNJKSH5LFKXZ,15704546335_10153385284896336,"""We have to take the jobs away from other countries that are making our product, they're taking our money, and they are in fact taking our jobs.""Last night, Donald J. Trump went ""On The Record with Greta Van Susteren,"" where he discussed race relations in America and the TPA bill.",fox,Negative
A177EXELDLWTWV,15704546335_10153385284896336,"""We have to take the jobs away from other countries that are making our product, they're taking our money, and they are in fact taking our jobs.""Last night, Donald J. Trump went ""On The Record with Greta Van Susteren,"" where he discussed race relations in America and the TPA bill.",fox,Neutral
A2XFO0X6RCS98M,15704546335_10153385284896336,"""We have to take the jobs away from other countries that are making our product, they're taking our money, and they are in fact taking our jobs.""Last night, Donald J. Trump went ""On The Record with Greta Van Susteren,"" where he discussed race relations in America and the TPA bill.",fox,Negative
AGNJKSH5LFKXZ,13652355666_10153933280450667,"Jessica Leeds, 74, of Manhattan, was one of two women quoted in a story by the 'The New York Times' saying Trump assaulted them.",usatoday,Negative
A2XFO0X6RCS98M,13652355666_10153933280450667,"Jessica Leeds, 74, of Manhattan, was one of two women quoted in a story by the 'The New York Times' saying Trump assaulted them.",usatoday,Negative
AURYD2FH3FUOQ,13652355666_10153933280450667,"Jessica Leeds, 74, of Manhattan, was one of two women quoted in a story by the 'The New York Times' saying Trump assaulted them.",usatoday,Negative
A2XFO0X6RCS98M,131459315949_10153397324575950,"Ash Carter warns Russia its policy in Syria will have consequences, and Hillary Clinton accuses Republicans of using ""coded racial language.""",cbs,Negative
AEVU71Z2FDTUX,131459315949_10153397324575950,"Ash Carter warns Russia its policy in Syria will have consequences, and Hillary Clinton accuses Republicans of using ""coded racial language.""",cbs,Negative
A9KPCMO1J1LQF,131459315949_10153397324575950,"Ash Carter warns Russia its policy in Syria will have consequences, and Hillary Clinton accuses Republicans of using ""coded racial language.""",cbs,Negative
A1SXSDLFB7ZLGQ,131459315949_10153856156105950,Donald J. Trump meets with Mexican President Enrique Pena Nieto ahead of a highly anticipated immigration policy speech.,cbs,Neutral
A1AKLKWWMV0BUQ,131459315949_10153856156105950,Donald J. Trump meets with Mexican President Enrique Pena Nieto ahead of a highly anticipated immigration policy speech.,cbs,Positive
