statis_id,content,source
131459315949_10153427911075950,"Just hours after Mitt Romney blasted Donald J. Trump in a speech at the University of Utah, Trump addressed the GOP's 2012 presidential nominee at his rally in Portland, Maine: ""Mitt is a failed candidate ... he failed horribly.""  ",cbs
131459315949_10153397324575950,"Ash Carter warns Russia its policy in Syria will have consequences, and Hillary Clinton accuses Republicans of using ""coded racial language.""",cbs
131459315949_10153447192105950,NEW: A Chicago police spokesperson told CBS News there were no meetings between police and the Donald J. Trump campaign about security.,cbs
131459315949_10153976233385950,"Michelle Obama, President Obama and Joe Biden campaign nationwide for Clinton, who continues to be hounded by leaked campaign emails.",cbs
131459315949_10153255564805950,"Clinton explains plan to defeat ISIS, Trump demands $5M to attend debate, and we look at challenges facing Obama in keeping his climate promises.",cbs
131459315949_10153384145610950,"CBS News estimates that John Kasich will come in second to Donald J. Trump in the GOP primary. ""Governor Kasich is now the leading governor in the race and the only one with a realistic chance at the nomination,"" Kasich senior strategist John Weaver said.",cbs
131459315949_10154040696300950,"The Trump campaign has raised the possibility that the 2016 election may be rigged, and concerns about voter fraud resonate with some registered voters.",cbs
131459315949_10153576261060950,"Larry Wilmore's roast of Donald J. Trump's ""President Johnson"" gets a big laugh from actor Will Smith: ",cbs
131459315949_10153987182875950,A viral Twitter campaign in the wake of Trump's lewd remarks led the actress to open up about her own sexual assault.,cbs
131459315949_10153782507555950,"Eric Trump discusses his father's fight with the parents of fallen soldier, U.S. Army Capt. Humayun Khan, and women being sexually harassed by former Fox News CEO Roger Ailes.",cbs
131459315949_10153151596005950,Just in case you've been dreaming of a Trump-Brady ticket...,cbs
131459315949_10153959369120950,"Women are to be championed and revered, not objectified, said House Speaker Paul Ryan. But Trump isn't giving in to criticism.Continuing coverage on CBSN: ",cbs
131459315949_10153631732360950,A look at some of Clinton's past claims about her unusual email set-up and how they compare with the inspector general's findings:,cbs
131459315949_10153257605315950,"Washington Post's Dana Milbank tells CBSN why he believes Trump should be called ""what he is""  a ""racist and a ""bigot"": ",cbs
