,statis_id,content,source
406,131459315949_10154051614130950,How did Trump react when a fan gave him a mask of his head?Watch more from this morning's Florida rally here: ,cbs
720,131459315949_10153990938455950,"""I'd advise Mr. Trump to stop whining,” said Obama about Trump’s complaints of potential voter fraud. ",cbs
2028,131459315949_10153440716410950,"Both Hillary Clinton and Bernie Sanders had ample criticism for the Republican frontrunner, while stopping short of one specific label.",cbs
2653,131459315949_10153106725885950,"This morning's headlines from CBS News, including: Hillary Clinton sees her lead in New Hampshire dissolve; and support mounts for a county clerk jailed in Kentucky over refusing to issue same-sex marriage licenses.",cbs
1543,131459315949_10153736754135950,"JUST IN: Donald J. Trump to name Indiana Governor Mike Pence as his running mate, sources says.",cbs
1243,131459315949_10153805504235950,"""If team USA was as fearful as Trump, Michael Phelps and Simone Biles would be cowering in the locker room,"" said Hillary Clinton at a campaign rally. ",cbs
2438,131459315949_10153288627060950,"Hillary Clinton, Bernie Sanders and Martin O'Malley will take the stage once again tonight: ",cbs
2052,131459315949_10153434307700950,"Hillary Clinton and Bernie Sanders paused at the #DemDebate to ask the public to ""compare the substance of this debate with what you saw on the Republican stage last week.""",cbs
758,131459315949_10153977262155950,"Summer Zervos, a contestant on season five of the reality show, says Donald Trump kissed and grabbed her in a Beverly Hills Hotel bungalow in 2007.",cbs
2274,131459315949_10153381686455950,"If former Mexican president Felipe Calderon has his way, Donald J. Trump will need to find financing for his ""tremendous"" border wall elsewhere.",cbs
892,131459315949_10153950271980950,"Donald J. Trump tweeted throughout the VP debate, and at the end he was quick to proclaim: ""Mike Pence won big.""",cbs
1223,131459315949_10153815686195950,Donald J. Trump points to recent Islamic terror attacks on U.S. soil while calling for a new immigration policy: ,cbs
2693,131459315949_10153049318025950,"Ferguson protest arrests, Trump's policy positions, air traffic controller fatigue in the spotlight again, and more top headlines in This Morning from CBS News.",cbs
2427,131459315949_10153292327635950,"Chelsea took to Twitter to announce her second child, then her mother, Hillary Clinton, followed right behind, tweeting that she and former President Bill Clinton are excited to welcome their second grandchild.",cbs
1056,131459315949_10153902770040950,"“I think that her bodyguards should drop all weapons, they should disarm,” Donald J. Trump said during a campaign rally.",cbs
782,131459315949_10153970083110950,"Clinton’s campaign chairman, John Podesta, is claiming that Russian hackers targeted his account to try and influence the presidential election.",cbs
1698,131459315949_10153638059640950,"The woman was listed in serious condition after the ""freak accident"" at McDonald's.",cbs
2752,131459315949_10152953518885950,"NBC announced that it's cutting ties with Donald Trump after his recent ""derogatory statements"" about Mexican immigrants.",cbs
832,131459315949_10153963381385950,NOW: Hillary Clinton and Donald Trump take the stage for tonight’s debate: ,cbs
525,131459315949_10154029440400950,"Over the past 20 years, the ""Spirit Halloween"" poll has correctly predicted every presidential election winner -- based on the top-selling mask.",cbs
2741,131459315949_10152982770695950,New Miss USA crowned amid Donald Trump controversy ,cbs
1950,131459315949_10153475929760950,"Here's why some voters aren't planning on voting for either front runner, Donald Trump or Hillary Clinton.",cbs
1377,131459315949_10153769502415950,"Tim Kaine mocks Donald J. Trump's oft-used line of ""believe me"" as he addresses the Democratic National Convention: ",cbs
807,131459315949_10153964881715950,"House Republicans will speak to each other this morning about how to deal with Trump's leaked video, as well as the second presidential debate.",cbs
2694,131459315949_10153049308090950,"Police arrest dozens of people in a fourth night of protests in Ferguson, Missouri. Also, Donald Trump dominates in a new poll. All that and all that matters in today's Eye Opener. Your world in 90 seconds.",cbs
158,131459315949_10154061194320950,"The Russian Deputy Foreign Minister said “there were contacts” with influential people in Trump’s circle. “I don’t say that all of them, but a whole array of them supported contacts with Russian representatives.”",cbs
