,statis_id,content,source
1965,5550296508_10154793846181509,"Don't think Donald J. Trump can win? ""Just watch,"" John Boehner says. But he was less enthusiastic about Ted Cruz.",cnn
2684,5550296508_10154459524126509,Donald J. Trump claimed the unemployment rate is as high as 42%. Jake Tapper breaks down why that's inaccurate:,cnn
2893,5550296508_10154392236141509,Donald J. Trump just laughed at a joke comparing Hillary Clinton to a dog. ,cnn
1292,5550296508_10155103811931509,"Donald J. Trump abandoned his modest dismissals of ""Lock her up!"" chants about Hillary Clinton during a rally in Colorado: ""I'm starting to agree with you. ... I've been nice. But after watching that performance last night -- such lies -- I don't have to be so nice anymore. I'm taking the gloves off."" ",cnn
2158,5550296508_10154677740376509,"New Poll: Hillary Clinton leads Bernie Sanders 51%-39% among New York Democrats, according to a Monmouth University poll released Monday.",cnn
2010,5550296508_10154764002771509,"""I anticipate he'll ask me to be vice president,"" Joe Biden joked about Donald J. Trump's next move.",cnn
2099,5550296508_10154709800216509,"“Nobody is going to mess with us,"" Donald J. Trump said in his #NYPrimary victory speech. Latest updates: ",cnn
224,5550296508_10155575632456509,JUST IN: Donald J. Trump's campaign lawyers are suing in the state of Nevada over an early vote dispute,cnn
3643,5550296508_10153771054821509,This week’s feud between Donald Trump and Neil Young isn’t the first time musicians and presidential candidates have had creative differences. ,cnn
3491,5550296508_10154032262586509,"""I don't see how over the long haul that you can insult your way to the nomination,"" Jeb Bush says of Donald J. Trump on ""The Lead with Jake Tapper."" More:  #JebOnCNN",cnn
768,5550296508_10155421051846509,"""Tic Tac respects all women,"" the company tweeted, telling the world it wants nothing to do with Donald J. Trump's latest scandal",cnn
2284,5550296508_10154603248791509,"Ted Cruz  and Donald J. Trump traded barbs over a super PAC ad containing a photo of Melania Trump posing nude, including one apparent paraphrasing from the film 'The American President'. ",cnn
416,5550296508_10155530684681509,"""His conduct does not reflect our campaign or our candidate"": Kellyanne Conway on Trump supporter's anti-semitic chant. ",cnn
1352,5550296508_10155092588886509,"Donald J. Trump: ""Russia, if you're listening, I hope you're able to find the 30,000 emails that are missing."" ",cnn
694,5550296508_10155442106041509,"We're with a Donald J. Trump Zoltar machine, the ""All-Seeing Trump,"" outside the Trump International Hotel & Tower in New York City, where the animatronic candidate invites you to ask, ""How Great America's Future Is."" Questions? Ask in the comments.",cnn
