,statis_id,content,source
2762,15704546335_10154148938876336,"""Trump is doing more than anyone since Ronald Reagan to bring in a new generation of voters.""On 'Happening Now,' Newt Gingrich said that Donald J. Trump is bringing Democrats and Independents into the Republican party. What do you think?",fox
1244,15704546335_10154560644861336,"Mike Pence slammed Hillary Clinton for playing to the ""politics of division.""",fox
2757,15704546335_10154151510956336,"BREAKING NEWS: Right now, a number of protesters have shut down a highway heading to a Donald J. Trump event in Arizona. ",fox
2200,15704546335_10154308448306336,"""It was the policies of Clinton-Obama which created ISIS in the first place."" – Dr. Ben Carson",fox
3749,15704546335_10153593169941336,"Donald J. Trump graced the cover of the newest TIME magazine, under the headline, ""The Donald Has Landed: Deal With It.""",fox
1986,15704546335_10154365337111336,"Bill O'Reilly: “Why do you think President Obama is not fighting ISIS as aggressively as perhaps he could?”Donald J. Trump: “I think nobody knows, Bill. I have absolutely no idea. All I know is that he should be...”",fox
860,15704546335_10154657231561336,"""It's hard to believe that something like this could happen in the land of the free ... But we live in a nation that pledges its allegiance to the Rainbow flag – a nation where gay rights now trump everyone else’s rights,"" Todd Starnes writes.",fox
1077,15704546335_10154606420846336,"Live Now: Donald J. Trump speaks to supporters at a rally in Asheville, North Carolina.",fox
975,15704546335_10154628599831336,"""The African-American community has been extremely loyal to the Democrats, but unfortunately the Democrats have not been loyal to African-Americans.""Omarosa said Donald J. Trump wants to bring change to the inner cities, and is willing to earn the African-American vote, not take it for granted.",fox
379,15704546335_10154743296686336,"Today, Charlie Hurt told Tucker Carlson that the Clintons' home as well as that of former Anthony Weiner and Huma Abedin ""should've been raided in the first investigation."" ",fox
2313,15704546335_10154281971396336,Breaking News: Speaker Paul Ryan has reportedly suggested that he’d be willing to step down as Republican Convention chairman if Donald J. Trump asks. Ryan has yet to endorse Trump as the presumptive GOP nominee. ,fox
2156,15704546335_10154319683581336,“They called. They kept calling…Hundreds and hundreds of emails and calls…And she was sleeping. She was sleeping! I don’t sleep much.” Donald J. Trump blasts Hillary Clinton for the way she responded to Benghazi.,fox
1253,15704546335_10154560147266336,"""The Clintons are greedy. They love money. They love money so much they've been accused of ignoring ethics and, very likely, laws to rake in more and more money."" – Eric Bolling ",fox
3395,15704546335_10153925796651336,"PolitiFact rated the claim ""false,"" and an Associated Press fact check also said Clinton has “no evidence” to back up her debate claim on the videos.",fox
1322,15704546335_10154544174496336,"Today on ""FOX & Friends Weekend,"" Gianno Caldwell had blunt words about Hillary Clinton.",fox
1241,15704546335_10154560445581336,"“Similarities between Donald Trump and Harry Potter’s nemesis, Lord Voldemort, have not gone without notice during the 2016 campaign,"" wrote Professor Diana Mutz.",fox
156,15704546335_10154776352251336,Fox News projects Donald J. Trump wins the swing state of North Carolina. #Election2016 #FoxNews2016 Watch Fox News Channel: ,fox
1788,15704546335_10154441843241336,"Presumptive Democratic presidential nominee Hillary Clinton is ahead of Republican Donald J. Trump by 10 points in Colorado, according to the latest Fox News Poll, while also up by 7 points in the battleground state of Virginia.",fox
2737,15704546335_10154156659726336,"Must-See Lineup TONIGHT: All three Republican rivals appear on Fox News, kicking off at 6p ET on ""Special Report,"" where Bret Baier talks to John Kasich and Ted Cruz.Then at 9p ET, Megyn Kelly goes one-on-one with Sen. Cruz.And at 10p ET, Sean Hannity has an hour-long no-holds-barred interview with Donald J. Trump. You won't want to miss this! ",fox
357,15704546335_10154747048436336,"""We commend the director of the FBI.""On ""Fox News Sunday,"" Mike Pence discussed the ongoing FBI investigation into Hillary Clinton.",fox
