,status_id,status_message
691,131459315949_10153995390225950,"“I was able to use the tax laws in this country and my business acumen to dig out of the real estate mess,” Donald J. Trump said on Monday. “Few others were able to do what I did.”"
325,131459315949_10154056086865950,Donald J. Trump would force colleges to reduce “administrative bloat.” Hillary Clinton plans to use federal resources to persuade states to increase support.
746,131459315949_10153983382665950,"""Go ahead and laugh at Donald Trump’s claims that he was foiled by a finicky microphone on Monday night, but I can relate. When I write a bad column, it’s all my keyboard’s fault,"" Frank Bruni writes in The New York Times Opinion Section."
2493,131459315949_10153255607995950,"What it’s like to be on stage at a Bernie Sanders rally. (Click/tap and drag for the full 360° experience.)We also have footage from Clinton, Cruz and Trump events in our new virtual reality app: "
1495,131459315949_10153750580350950,"As we get closer to the presidential election, we want to hear your perspective. Create your own Facebook Live using #NYTElection, and tell us which candidate you support and why.We'll watch all your submissions and ask some of you to participate in our Facebook Live coverage leading up to the election. Help us hear you!"
2065,131459315949_10153431807475950,"""I admire his outspokenness and personal charisma,"" said Ding Qiushi, founder of an online Donald J. Trump fan club."
44,131459315949_10154072924970950,The biggest difference between Donald J. Trump’s and Paul Ryan’s tax approaches can be seen on the corporate side.
615,131459315949_10154008317965950,"Hillary Clinton: ""It's just awfully good that someone with the temperament of Donald Trump is not in charge of the law in our country.""Donald J. Trump: ""Because you'd be in jail."""
230,131459315949_10154057121800950,"We're with Mike Daisey, who is performing a portion of his one-man show, ""The Trump Card."" Leave your questions for Mike in the comments."
1373,131459315949_10153769637325950,"The executive editor of The New York Times, Dean Baquet, is here to answer your questions on the 2016 presidential election, Donald J. Trump and the GOP convention. Ask them below."
333,131459315949_10154055978885950,"Update: The United States Department of Justice has received a search warrant to review emails of Huma Abedin, a top Hillary Clinton aide, that were found on her husband's computer."
354,131459315949_10154055069360950,Breaking News: Hillary Clinton challenged the FBI to “release all the information that it has” about the inquiry into newly discovered emails.
1932,131459315949_10153489488485950,Why did Hillary Clinton go the distance while the GOP establishment went down to humiliating defeat? Read on in The New York Times Opinion Section.
1904,131459315949_10153516178790950,The Upshot's first analysis of a general election matchup.
1342,131459315949_10153773804785950,"Breaking News: Hillary Clinton chose U.S. Senator Tim Kaine of Virginia as a running mate, according to a senior campaign official."
2478,131459315949_10153268472135950,Donald J. Trump's defeat won’t necessarily derail his campaign. But he still fell short.
1056,131459315949_10153902770040950,"""Sometimes, in the heat of debate and speaking on a multitude of issues, you don’t choose the right words or you say the wrong thing. I have done that. And believe it or not, I regret it,"" Donald J. Trump said."
865,131459315949_10153960256410950,"Weeks ago, a Clinton loss was as likely as a missed 35-yard field goal. Today, that kick is 10 yards farther."
