,statis_id,content,source
3643,273864989376427_1015658015197117,A big diss for Trump from a Miss America contestant.,msnbc
1795,273864989376427_1209256009170649,"Donald J. Trump is unhappy with what he called ""incredibly inaccurate coverage.""",msnbc
91,273864989376427_1347118222051093,"""I think we're going to spend the first month passing repeal of Obama regulations, and they will be repealed by Trump.""- Rand Paul",msnbc
384,273864989376427_1328617460567836,"""Donald Trump, he can't read this, but he is afraid of it,"" reads the black-and-white billboard.",msnbc
854,273864989376427_1102784466472654,"With 50 days before the presidential election, Florida is too close to call, and Hillary Clinton is on Donald J. Trump's heels in Georgia.More Hardball with Chris Matthews: ",msnbc
1098,273864989376427_1275280685901514,What is Donald J. Trump's stance on immigration? We're about to find out...,msnbc
4067,273864989376427_900544343375152,Companies like McDonald's and Walmart are increasing wages - but is it enough? Sound off below.,msnbc
3732,273864989376427_998866793542906,Trump-Fox feud boils over.,msnbc
1607,273864989376427_1232127820216801,"Move over Trump University, several other Republicans are caught up in their own messes surrounding for-profit colleges.",msnbc
4072,273864989376427_899933340102919,"Dozens of reporters chase the ""Scooby Doo"" van in Iowa in an attempt to catch a glimpse of Hillary Clinton.More here: ",msnbc
581,273864989376427_1120261818058252,In 1998 Donald J. Trump told Chris Matthews he was worse than Bill Clinton when it came to behavior toward women. Did Trump think those comments would never surface?More from Hardball with Chris Matthews: ,msnbc
1077,273864989376427_1276606299102286,"Jacob Monty, who just resigned from Trump's National Hispanic Advisory Council, said Donald J. Trump meeting with Hispanics ""was a cynical scheme to use us as props.""",msnbc
2867,273864989376427_1110581582371426,Sanders fundraising led the Clinton campaign to send frustrating emails to voters about being outspent.,msnbc
1424,273864989376427_1245247018904881,An overwhelming 94 percent of black voters disapprove of Donald J. Trump — up 13 percent from May.,msnbc
1171,273864989376427_1267616413334608,A new report is raising more questions about how Donald J. Trump is spending donors’ campaign contributions.,msnbc
103,273864989376427_1346595962103319,Those who were unwilling publicly to admit they were supporting Donald J. Trump used the privacy of the curtain of the ballot box to make their voices heard.,msnbc
33,273864989376427_1351740541588861,There were 868 fewer places to vote around the nation in the 2016 election.,msnbc
772,273864989376427_1302464799849769,"One person in the room gave him pause, Donald J. Trump said.",msnbc
3723,273864989376427_1000875793342006,"If Biden's riding, then Clinton's not hiding.",msnbc
4022,273864989376427_925504067545846,Perhaps it's inevitable when the leading candidates on each side are named Bush and Clinton,msnbc
777,273864989376427_1302123579883891,"Donald J. Trump sniffled repeatedly during Monday night's debate, sparking the hashtag #TrumpSniffle and this question from former DNC Chairman Howard Dean.",msnbc
3944,273864989376427_958257430937176,"Find out why ""Ugly Betty"" star America Ferrera is thanking Donald Trump for his racist rant.",msnbc
3969,273864989376427_948050855291167,Jeb Bush: the anti-Trump?,msnbc
2423,273864989376427_1149800881782829,Libertarian presidential candidate Gary Johnson is angling for the anti-Trump vote.,msnbc
496,273864989376427_10154725831442871,"Exclusive on Meet the Press: Biden ""embarrassed"" by state of election amid Trump allegations. Read more: ",msnbc
3577,273864989376427_1025403390889246,Who wins under Donald Trump's proposed tax plan?,msnbc
3847,273864989376427_979115632184689,Is Hillary attempting to lure a response from Republicans?,msnbc
1613,273864989376427_1231531886943061,"Bernie Sanders heartily endorsed Hillary Clinton as he bowed out Tuesday, but his influence will last.",msnbc
2626,273864989376427_1127780657318185,#NeverTrump is easier tweeted than done.,msnbc
