,statis_id,content,source
1202,13652355666_10153498120455667,"""I know a lot of people have been threatening to do this, but I really will"" move to Canada if Trump is elected, Lena Dunham says.",usatoday
1390,13652355666_10153335901350667,Take a look at the Trump timeline.,usatoday
857,13652355666_10153706396605667,"Chelsea Clinton introduced her mother, who accepted the Democratic nomination for president Thursday night. usat.ly/2aBgZHp",usatoday
1047,13652355666_10153626213045667,"""Private barrel selections"" sounds pretty good.",usatoday
492,13652355666_10153926758645667,John Podesta speculates that Russia released the hacked emails to sway the election in Donald J. Trump's favor.,usatoday
1029,13652355666_10153641217200667,Hillary Clinton is toasting The Toast usat.ly/29jgUrD,usatoday
1145,13652355666_10153534700555667,A small Lithuanian restaurant garnered international attention Saturday thanks to its 6-foot mural showing presumptive Republican presidential nominee Donald Trump and Russian leader Vladimir Putin locking lips.,usatoday
1307,13652355666_10153376833645667,BREAKING: Republican front-runner Donald Trump has accepted an endorsement from former rival Ben Carson as part of an effort to unite the GOP around his candidacy.,usatoday
1175,13652355666_10153516855595667,"Inside the vehicle, Harris had a laptop, two flash drives, documents in a black bag and the book TrumpNation: The Art of Being The Donald.",usatoday
1196,13652355666_10153498914200667,"Donald Trump, the Republican front-runner, scored victories in Tuesday's five primaries. ",usatoday
1131,13652355666_10153545415925667,"No official announcement has been made about what caused the crash of EgyptAir Flight MS804, but the Donald has no doubt that terrorists are to blame. usat.ly/1OCyfoc",usatoday
273,13652355666_10153998187125667,"In this rare instance, the left and right tend to agree that Donald J. Trump is unqualified to be president.",usatoday
1300,13652355666_10153385234535667,Protesters vs. Donald Trump -- the clashes continue.,usatoday
773,13652355666_1686993088291879,"Weston Imer not only helped open a Colorado field office for the Trump campaign, he also has some presidential dreams of his own...and he's only 12-years-old!",usatoday
1631,13652355666_10153063126760667,"In USA TODAY's third survey of the strength of the GOP field, Wisconsin Gov. Scott Walker continues to fall, while Donald Trump retains his spot atop the rankings.",usatoday
1519,13652355666_10153200035885667,Most don't believe him when he says he didn't view the video of officer Jason Van Dyke shooting Laquan McDonald ahead of its public release.,usatoday
1431,13652355666_10153301410910667,"UPDATE: With all but one precinct reporting in Iowa, Hillary Clinton clung to a sliver of a lead over Bernie Sanders early Tuesday.",usatoday
1234,13652355666_10153461436780667,"The Federal Election Commission is questioning $1,302 worth of video games, among other transactions.",usatoday
875,13652355666_10153703786215667,"Hillary Clinton's VP pick Tim Kaine is speaking right now. Join us live. Later, President Barack Obama takes the stage. #DemsinPhilly",usatoday
