,statis_id,content,source
760,8304333127_10154693096718128,"President Obama's rallying behind Hillary Clinton so aggressively is not only a stark contrast from recent past sitting presidents, it's also a change in that he is now defending her for missteps his campaign would have pummeled her over.",wsj
294,8304333127_10154880930053128,Lunch Break with Tanya Rivero:  Secret recordings sparked the dispute between the FBI – Federal Bureau of Investigation and prosecutors over moving forward with a Clinton Foundation investigation. Do lab-grown diamonds look like the real thing? The race is on to publish President Obama's memoirs. Actor/comedian Nick Kroll on his role in the movie 'Loving' and 'Oh Hello Show' on Broadway.,wsj
1808,8304333127_10154152638648128,"While Donald J. Trump leads in winning primary and caucus elections, and has won more delegates, Ted Cruz is proving superior at the arcane game of picking the people who will be the actual delegates to the convention, where they will help write the rules and ultimately choose the nominee.",wsj
1229,8304333127_10154459594668128,“We’ve won again...That’s our sixth victory out of eight in the last 20 years. You’d say that we are an election-winning machine.”,wsj
1113,8304333127_10154515679928128,"When Hillary Clinton accepts the Democratic nomination on Thursday, she will take command of a party that has little in common with the one she and her husband rode to the White House a quarter-century ago.",wsj
163,8304333127_10154910935263128,Politics has spiraled through financial markets.What will Donald J. Trump's presidency mean for investors?The Wall Street Journal's James Mackintosh and Riva Gold are discussing and taking your questions.,wsj
1232,8304333127_10154458026178128,Donald J. Trump on Wednesday said his campaign erred when it removed an image from his Twitter feed that critics called anti-Semitic.,wsj
2367,8304333127_10153676638218128,"Donald J. Trump's fleet of private aircrafts is a ""massive, unbelievable competitive advantage.”",wsj
309,8304333127_10154872888113128,"With polls showing a tightening in the presidential race, Hillary Clinton and Donald J. Trump are moving advertising dollars and fine-tuning their closing arguments during the final week of one of the most unpredictable elections in modern history.",wsj
2027,8304333127_10154034995948128,"Justice Antonin Scalia's death has created an opening at the court in a heated election season, leading Republicans to say his successor should be chosen in 2017 by the next U.S. president.",wsj
949,8304333127_10154585257683128,"Vice President Joe Biden will make his 2016 campaign-trail debut Monday in blue-collar Scranton, Pa., where he is expected to draw on his boyhood in northeastern Pennsylvania during a joint appearance with Hillary Clinton.",wsj
1070,8304333127_10154528573198128,President Barack Obama vouched for Hillary Clinton’s foreign-policy credentials in a speech intended to elevate her as a tested leader at a time when national-security concerns are taking a key role in the race.,wsj
364,8304333127_10154846627703128,"Hillary Clinton says she won't add a penny to the debt. It's an oversimplification that's technically accurate, but her nuance-free pledge is politically risky.",wsj
467,8304333127_10154801674618128,Lunch Break: Election 2016: Worries growing about turnout in November. Why breast feeding your baby could interfere with a baby's sleep safety needs. #FacebookLive,wsj
1659,8304333127_10154250288378128,"The Kremlin is creating a new internal security force that answers directly to Russian President Vladimir Putin, ahead of parliamentary elections.",wsj
2435,8304333127_10153577811868128,Could 2016 be the election cycle that truly shakes up the system?,wsj
1928,8304333127_10154078068668128,"Mitt Romney, the 2012 Republican presidential nominee, assailed current GOP front-runner Donald Trump on Thursday, questioning his honesty and arguing his nomination would guarantee that Democrat Hillary Clinton becomes the next president.",wsj
819,8304333127_10154665903713128,"Donald Trump leads Hillary Clinton by nearly 20 points among voters with military experience, according to a new NBC News/SurveyMonkey poll.",wsj
2504,8304333127_10153398804308128,"The WSJ Politics team is doing live analysis of 296 of Hillary Clinton's emails, which were just released.",wsj
1608,8304333127_10154273840303128,"Donald J. Trump won Indiana’s Republican presidential primary, putting the New Yorker on a glide path to the GOP nomination.",wsj
674,8304333127_10154733302443128,"Hillary Clinton attacked Donald J. Trump for not releasing his tax returns, saying it may be because he hasn't paid federal taxes.",wsj
1515,8304333127_10154307346883128,"President-elect Rodrigo Duterte also pledged to restore the death penalty, which was suspended in 2006, and said he would issue instructions allowing police to shoot on sight suspects involved in organized crime.",wsj
1409,8304333127_10154360959623128,Parents of victims of crimes committed by illegal immigrants are looking to Donald Trump for hope.,wsj
