,status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares,content,candidate_label,classification
1,15704546335_10154797323166336,"""These mayors - all uber-liberals - believe they will harvest more votes by showing phony compassion than by promoting public safety and fighting anarchy.""

Bill O'Reilly said that one of the first challenges President-elect Donald J. Trump will have to face is what to do about sanctuary cities and the mayors that defy him on immigration law. http://bit.ly/2fVLA45",,video,https://www.facebook.com/FoxNews/videos/10154797323166336/,2016-11-15 20:17:07,10435,1391,2743,mayors uberliberals will harvest votes showing phony compassion promoting public safety fighting anarchyBill OReilly challenges Presidentelect   will face sanctuary cities mayors defy immigration law httpbitlyfVLA,trump,Neutral
2,15704546335_10154796532151336,Tampa Bay Buccaneers wide receiver Mike Evans apologized for protesting Donald J. Trump's win by sitting during the national anthem at Sunday's game honoring veterans.,Bucs Wide Receiver Apologizes for Protesting Trump by Sitting for Anthem,link,http://insider.foxnews.com/2016/11/15/mike-evans-apologizes-protesting-trump-sitting-anthem,2016-11-15 15:35:25,7865,3697,842,Tampa Bay Buccaneers wide receiver Mike Evans apologized protesting  s win sitting national anthem Sundays game honoring veterans,trump,Neutral
3,15704546335_10154796679621336,President-elect Donald J. Trump's granddaughter is impressive!,Watch President-Elect Donald Trump’s Granddaughter Recite Poetry in Mandarin,link,http://insider.foxnews.com/2016/11/15/video-trumps-granddaughter-arabella-kushner-went-viral-china,2016-11-15 15:00:03,34270,1029,2551,Presidentelect  s granddaughter impressive,trump,Neutral
5,15704546335_10154796329281336,"""We have been listening to what he has said in recent days, and it seems that his rhetoric has been much less radical.” 

Mexican Mayor Ricardo Villareal García has invited President-elect Donald J. Trump to visit San Miguel de Allende, Guanajuato to learn about the city.",Mexican City Rescinds Decree Proclaiming Donald Trump ‘Persona Non Grata’,link,http://latino.foxnews.com/latino/news/2016/11/15/mexican-city-strikes-down-decree-proclaiming-donald-trump-persona-non-grata/,2016-11-15 13:06:23,8554,1134,1098,listening days rhetoric radical Mexican Mayor Ricardo Villareal Garc invited Presidentelect   visit San Miguel de Allende Guanajuato learn city,trump,Negative
6,15704546335_10154796288396336,"""There are going to be a lot more things made in the U.S.A.""

Congressman Steve Scalise commented on how President-elect Donald J. Trump will ensure that things are made in America again.",,video,https://www.facebook.com/FoxNews/videos/10154796288396336/,2016-11-15 12:29:51,24720,1006,4458,going lot things USACongressman Steve Scalise commented Presidentelect   will ensure things America,trump,Neutral
7,15704546335_10154796140646336,"Breaking News: Dr. Ben Carson has turned down consideration to be a part of Donald J. Trump's cabinet, Fox News confirms.",,video,https://www.facebook.com/FoxNews/videos/10154796140646336/,2016-11-15 11:26:52,4280,3701,1808,Breaking News Dr Ben Carson turned consideration  s cabinet Fox News confirms,trump,Neutral
8,15704546335_10154796119516336,"“I think he’s going to be a very successful president.” 

Moments ago, House Speaker Paul Ryan said he thinks the United States will have a very unified government that will work together with President-elect Donald J. Trump’s administration.",,video,https://www.facebook.com/FoxNews/videos/10154796119516336/,2016-11-15 11:16:34,26620,2615,3837,going successful president Moments ago House Speaker Paul Ryan thinks United States will unified government will work Presidentelect   administration,trump,Neutral
9,15704546335_10154795994621336,"Laura Ingraham said on Tucker Carlson Tonight that she would ""seriously consider"" the role as press secretary if she felt that she could help advance Donald J. Trump's agenda.",Here's the Latest Buzz on Pres-Elect Trump's Possible Cabinet Picks,link,http://insider.foxnews.com/2016/11/15/latest-buzz-pres-elect-trumps-possible-cabinet-picks,2016-11-15 10:24:50,6452,911,356,Laura Ingraham Tucker Carlson Tonight seriously consider role press secretary felt help advance  s agenda,trump,Neutral
10,15704546335_10154794322026336,"""President Obama surrounded himself with people that were ideologues, who told President Obama what he wanted to hear.""

Herman Cain argued that President-elect Donald J. Trump is the type of leader who will surround himself with people who will tell him what he needs to hear.",Cain: Obama Is Only Being Told What He Wants to Hear,link,http://insider.foxnews.com/2016/11/14/herman-cain-donald-trump-won-because-americans-rejected-policies-president-obama,2016-11-15 07:37:15,27066,859,2535,President Obama surrounded people ideologues told President Obama wanted hearHerman Cain argued Presidentelect   type leader will surround people will hear,trump,Neutral
12,15704546335_10154794405636336,President Obama commented on Donald J. Trump's election victory during a press conference on Monday.,Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154794405636336/?type=3,2016-11-15 01:00:00,44135,1687,10803,President Obama commented  s election victory press conference Monday,trump,Neutral
13,15704546335_10154794949921336,"Jesse Watters: ""Do you think the election was rigged?""
Answer: ""Yes.""
Watters: ""In whose favor?""
Answer: ""Donald Trump.""",'I Didn't Want the Blood on My Hands': Watters Talks to People Who Didn't Vote,link,http://insider.foxnews.com/2016/11/14/watters-world-talks-people-who-didnt-vote-2016-election,2016-11-15 00:00:00,3615,1589,1269,Jesse Watters election riggedAnswer YesWatters favorAnswer  ,trump,Neutral
14,15704546335_10154794867326336,"Sean Hannity blamed the anti-Donald J. Trump protests that are taking place across the country on the media's ""biased reporting"" and ""blatant disregard for the truth."" What do you think?",Hannity: 'Abusively Biased' Media Was So Wrong About Trump,link,http://insider.foxnews.com/2016/11/14/sean-hannity-abusively-biased-media-was-so-wrong-about-donald-trump-2016-election,2016-11-14 22:29:38,96827,7555,7886,Sean Hannity blamed anti  protests place country medias biased reporting blatant disregard truth,trump,Neutral
15,15704546335_10154794012026336,"Donald J. Trump says he has no plans to accept the presidential salary of $400,000. http://fxn.ws/2f9CsFt",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154794012026336/?type=3,2016-11-14 21:30:01,119884,7985,27180,  plans accept presidential salary httpfxnwsfCsFt,trump,Neutral
16,15704546335_10154794603371336,"""You are living in a fantasy world if you think the liberal administration of the past eight years has encouraged inclusion. It has not.""

In his Talking Points Memo, Bill O'Reilly said that more than 60 million Americans voted for Donald J. Trump because they felt excluded by President Obama's ""grand left-wing vision."" http://bit.ly/2ezH9fm",,video,https://www.facebook.com/FoxNews/videos/10154794603371336/,2016-11-14 20:45:00,49068,2464,24893,living fantasy liberal administration years encouraged inclusion notIn Talking Points Memo Bill OReilly Americans voted   felt excluded President Obamas grand leftwing vision httpbitlyezHfm,trump,Neutral
17,15704546335_10154794518236336,"""If my country needs me and if I could do something to actually advance the Trump agenda ... then I obviously have to seriously consider that.""

On 'Tucker Carlson Tonight', Laura Ingraham weighed in on reportedly being considered for the position of White House press secretary under Donald J. Trump’s administration. http://bit.ly/2ezyHwG",,video,https://www.facebook.com/FoxNews/videos/10154794518236336/,2016-11-14 20:00:00,11164,994,552,country advance  agenda seriously consider thatOn Tucker Carlson Tonight Laura Ingraham weighed reportedly considered position White House press secretary   administration httpbitlyezyHwG,trump,Neutral
18,15704546335_10154794410971336,"""I am certain this is not the first time we’ve elected a racist, sexist, homophobic president,"" Wanda Sykes reportedly told the crowd. ""[Donald J. Trump's] just the first confirmed one, that's it.""",Wanda Sykes Booed Off Stage After Anti-Trump Remarks at Charity Benefit,link,http://www.foxnews.com/entertainment/2016/11/14/wanda-sykes-booed-off-stage-after-anti-trump-remarks-at-charity-benefit.html,2016-11-14 19:04:33,25920,14093,3701,time ve elected racist sexist homophobic president Wanda Sykes reportedly told crowd  s confirmed,trump,Neutral
20,15704546335_10154794217396336,Watch: Middle school and high school students in states from California to Maryland walked out of classes Monday in the latest mass protests against President-elect Donald J. Trump. http://fxn.ws/2eYwHN5,,video,https://www.facebook.com/FoxNews/videos/10154794217396336/,2016-11-14 17:09:55,13849,59073,22718,Watch Middle school high school students states California Maryland walked classes Monday latest mass protests Presidentelect   httpfxnwseYwHN,trump,Neutral
21,15704546335_10154794106596336,"""The people have spoken. Donald J. Trump will be the next president ... Those who didn't vote for him have to recognize that that's how democracy works.""  – President Obama",,video,https://www.facebook.com/FoxNews/videos/10154794106596336/,2016-11-14 16:08:25,43099,5155,12578,people spoken   will president didnt vote recognize democracy works President Obama,trump,Neutral
23,15704546335_10154793886636336,Some viewers are questioning why CBS News did not immediately post a clip in which Donald J. Trump told any of his supporters who are reportedly harassing minorities to “stop it!”,CBS Criticized for Holding Trump Clip Demanding an End to Any Violence in His Name,link,http://www.foxnews.com/entertainment/2016/11/14/cbs-criticized-for-holding-trump-clip-demanding-end-to-any-violence-in-his-name.html,2016-11-14 15:12:18,22273,5393,9261,viewers questioning CBS News post clip   told supporters reportedly harassing minorities,trump,Neutral
24,15704546335_10154793821621336,"""I’m going to join the people who've formed a protest of this racist, sociopath on his way to the White House.” 

Michael Moore left a note for Donald J. Trump that said he wanted to talk to him.",Michael Moore Storms Trump Tower Demanding Meeting with President-Elect,link,http://www.foxnews.com/entertainment/2016/11/14/michael-moore-storms-trump-tower-demanding-meeting-with-president-elect.html,2016-11-14 14:14:45,4041,23086,1968,going join people whove formed protest racist sociopath White House Michael Moore left note   wanted talk,trump,Neutral
25,15704546335_10154793508181336,President-elect Donald J. Trump said he was “saddened” by reports that some of his supporters had harassed minorities since Tuesday’s vote and urged them to “stop it.” http://bit.ly/2eXUJYk,Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154793508181336/?type=3,2016-11-14 12:58:16,35103,3315,5852,Presidentelect   saddened reports supporters harassed minorities Tuesday vote urged httpbitlyeXUJYk,trump,Neutral
26,15704546335_10154793423566336,"""Protesting .... really?...You're causing all this destruction just because your candidate lost!""

Air Force veteran Thaddeus Alexander shared a message with anti-Donald J. Trump protesters about what he sees as the hypocrisy of the left.",You Crybabies Are Why Trump Won!: Fed-Up Vet's Message to Protesters Goes Viral,link,http://insider.foxnews.com/2016/11/14/black-veterans-video-message-trump-protesters-goes-viral,2016-11-14 12:27:37,112765,3723,30844,Protesting reallyYoure causing destruction candidate lostAir Force veteran Thaddeus Alexander shared message anti  protesters sees hypocrisy left,trump,Neutral
27,15704546335_10154793341151336,"“The Steve Bannon I know is a guy that is really on the same page with... almost everything that I agree with as far as advising President-elect Trump.” 

Reince Priebus jumped to Steve Bannon’s defense after critics argued that he will lead Donald J. Trump's administration down a more xenophobic path as the president-elect’s chief strategist. http://fxn.ws/2g9rqnz",,video,https://www.facebook.com/FoxNews/videos/10154793341151336/,2016-11-14 11:31:10,3866,499,528,Steve Bannon guy agree advising Presidentelect  Reince Priebus jumped Steve Bannon defense critics argued will lead  s administration xenophobic path presidentelect chief strategist httpfxnwsgrqnz,trump,Neutral
28,15704546335_10154792933401336,Stephen Bannon’s appointment as chief strategist and senior counselor prompted critics to charge he could propel Donald J. Trump down a more xenophobic path.,"Priebus' First Role is Defending Colleague Bannon from Accusations of Racism, Hate",link,http://www.foxnews.com/politics/2016/11/14/trumps-appointment-bannon-receives-wave-criticism.html,2016-11-14 07:43:51,2520,1459,270,Stephen Bannon appointment chief strategist senior counselor prompted critics charge propel   xenophobic path,trump,Neutral
29,15704546335_10154792092541336,"President-elect Donald J. Trump also vowed to nominate a Supreme Court justice that would be pro-life and pro-Second Amendment, in his first television interview since the election.","Trump Repeats Vow to Build Border Wall, but Admits ‘There Could Be Some Fencing’",link,http://www.foxnews.com/politics/2016/11/13/trump-repeats-vow-to-build-border-wall-but-admits-there-could-be-some-fencing.html,2016-11-13 22:50:00,37370,1715,1634,Presidentelect   vowed nominate Supreme Court justice prolife proSecond Amendment television interview election,trump,Neutral
30,15704546335_10154790919521336,"The Hollywood legend called Donald J. Trump ""totally nuts"" and ""blatantly stupid,"" arguing that he would take the United States in the wrong direction.",Robert De Niro on Trump's Victory: 'I Feel Like I Did After 9/11',link,http://insider.foxnews.com/2016/11/13/robert-de-niro-donald-trump-election-victory-i-feel-i-did-after-911,2016-11-13 22:40:00,6366,28625,2440,Hollywood legend called   totally nuts blatantly stupid arguing United States wrong direction,trump,Neutral
32,15704546335_10154790155541336,"""As a Muslim, I believe that the left has sadly lost our fight against the Islamic State by refusing to talk about the Islam in Islamic State.""

On ""FOX & Friends Weekend"" this morning, Asra Nomani, a liberal Muslim immigrant, explained why she voted for President-elect Donald J. Trump. http://bit.ly/2etYiaf",,video,https://www.facebook.com/FoxNews/videos/10154790155541336/,2016-11-13 20:00:00,16492,542,4179,Muslim left sadly lost fight Islamic State refusing talk Islam Islamic StateOn FOX Friends Weekend morning Asra Nomani liberal Muslim immigrant explained voted Presidentelect   httpbitlyetYiaf,trump,Neutral
33,15704546335_10154790387116336,"After seeing President-elect Donald J. Trump meet with President Obama, Oprah Winfrey tweeted to those who protesting, ""Everybody take a deep breath!""",Oprah Faces Backlash From the Left for Telling Protesters to 'Take a Deep Breath',link,http://insider.foxnews.com/2016/11/13/oprah-winfrey-faces-backlash-left-telling-protesters-take-deep-breath,2016-11-13 18:40:00,24655,3964,2910,Presidentelect   meet President Obama Oprah Winfrey tweeted protesting deep breath,trump,Neutral
34,15704546335_10154790498566336,"""Donald Trump - he appealed to ALL Americans.""

In a contentious debate on ""FOX & Friends Weekend,"" Brunell Donald Kyei talked about President-elect Donald J. Trump and the protests against him.",,video,https://www.facebook.com/FoxNews/videos/10154790498566336/,2016-11-13 18:00:00,6789,1232,1264,  appealed AmericansIn contentious debate FOX Friends Weekend Brunell  Kyei talked Presidentelect   protests,trump,Neutral
35,15704546335_10154791118796336,"""We’re getting them out of our country, they’re here illegally,"" President-elect Donald J. Trump said in an interview.",Trump Reveals He Will Deport 2 Million to 3 Million Undocumented Immigrants After Building Wall,link,http://latino.foxnews.com/latino/politics/2016/11/13/trump-reveals-will-deport-2-million-to-3-million-undocumented-immigrants-after/,2016-11-13 17:30:00,109946,9804,9336,country illegally Presidentelect   interview,trump,Neutral
37,15704546335_10154790148441336,"""I know that  Donald Trump is not Islamophobic. He is not racist. He is not a bigot.""

On ""FOX & Friends Weekend"" this morning, Asra Nomani, a liberal Muslim immigrant, explained why she voted for President-elect Donald J. Trump. http://bit.ly/2etYiaf",,video,https://www.facebook.com/FoxNews/videos/10154790148441336/,2016-11-13 16:20:00,44120,1121,13034,  Islamophobic racist bigotOn FOX Friends Weekend morning Asra Nomani liberal Muslim immigrant explained voted Presidentelect   httpbitlyetYiaf,trump,Neutral
38,15704546335_10154791204921336,"Breaking News: RNC Chair Reince Priebus to be named President-elect Donald J. Trump's chief of staff, sources tell Fox News.",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154791204921336/?type=3,2016-11-13 16:14:24,30345,1813,3520,Breaking News RNC Chair Reince Priebus named Presidentelect  s chief staff sources Fox News,trump,Neutral
39,15704546335_10154790592811336,"Conway says that Senator Harry Reid ""should be very careful"" about how he characterizes Donald J. Trump in a legal sense.",Conway: Harry Reid Should Be 'Very Careful' With His Attacks on Trump,link,http://insider.foxnews.com/2016/11/13/kellyanne-conway-harry-reid-should-be-very-careful-his-attacks-donald-trump,2016-11-13 15:50:00,22272,2397,1813,Conway Senator Harry Reid careful characterizes   legal sense,trump,Neutral
40,15704546335_10154790272931336,"Donald J. Trump is working to assemble his cabinet, and Newt Gingrich says that the president-elect is looking for people who share his vision for bringing change to Washington, D.C. http://bit.ly/2eUsr15",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154790272931336/?type=3,2016-11-13 15:20:00,6132,365,404,  working assemble cabinet Newt Gingrich presidentelect people share vision bringing change Washington DC httpbitlyeUsr,trump,Neutral
41,15704546335_10154790896231336,"Today, President-elect Donald J. Trump tweeted about his victory.",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154790896231336/?type=3,2016-11-13 14:50:00,23808,976,362,Today Presidentelect   tweeted victory,trump,Neutral
42,15704546335_10154790719936336,"On ""FOX & Friends Weekend,"" U.K. Independence Party leader Nigel Farage described the similarities between Brexit and Donald J. Trump's victory. http://bit.ly/2f5Y3i4",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154790719936336/?type=3,2016-11-13 13:35:00,27481,640,2880,FOX Friends Weekend UK Independence Party leader Nigel Farage described similarities Brexit  s victory httpbitlyfYi,trump,Neutral
43,15704546335_10154790164601336,"""These are Communists. These are anarchists. They're anti-Semitic.""

Today on ""FOX & Friends Weekend,"" Pete Hegseth commented on the forces behind the anti-Donald J. Trump protests.",,video,https://www.facebook.com/FoxNews/videos/10154790164601336/,2016-11-13 13:00:00,15229,2908,11757,Communists anarchists antiSemiticToday FOX Friends Weekend Pete Hegseth commented forces anti  protests,trump,Neutral
44,15704546335_10154790182491336,"""In spite of it all we all, even though we felt forgotten, alone and beaten down, we all came home because this wasn't an election – it was a revolution.""

Last night on ""Justice,"" Judge Jeanine Pirro gave an emotional Opening Statement last night on Donald J. Trump's stunning victory in the 2016 election. http://bit.ly/2f5qooB",,video,https://www.facebook.com/FoxNews/videos/10154790182491336/,2016-11-13 11:20:14,22890,1605,9297,spite felt forgotten beaten election revolutionLast night Justice Judge Jeanine Pirro emotional Opening Statement night  s stunning victory election httpbitlyfqooB,trump,Neutral
45,15704546335_10154790142171336,"On ""FOX & Friends Weekend"" this morning, Asra Nomani, a liberal Muslim immigrant, explained her support for President-elect Donald Trump. http://bit.ly/2etYiaf",Timeline Photos,photo,https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10154790142171336/?type=3,2016-11-13 10:20:01,39958,1561,6993,FOX Friends Weekend morning Asra Nomani liberal Muslim immigrant explained support Presidentelect   httpbitlyetYiaf,trump,Neutral
46,15704546335_10154790108211336,"""When will the left realize: This is large in part why Trump won.""

Last night on ""Justice,"" Charlie Kirk talked to Judge Jeanine Pirro about college students and the ""politically correct weakening of America.""",,video,https://www.facebook.com/FoxNews/videos/10154790108211336/,2016-11-13 09:35:00,18443,2134,8474,will left realize large  wonLast night Justice Charlie Kirk talked Judge Jeanine Pirro college students politically correct weakening America,trump,Neutral
47,15704546335_10154790032891336,"President-elect Donald J. Trump has previously stated his disbelief in global warming. Other global governments, including China, have expressed their reaffirming support for the deal.",Trump Reportedly Looking for Way to Pull U.S. Out of Climate Agreement,link,http://www.foxnews.com/politics/2016/11/13/trump-reportedly-looking-for-way-to-pull-us-out-climate-agreement.html,2016-11-13 09:00:01,13239,2224,1153,Presidentelect   stated disbelief global warming global governments including China expressed reaffirming support deal,trump,Neutral
49,15704546335_10154787637731336,"""[Donald J. Trump] understands and recognizes what our two great nations have done together, between us.""

On ""The Cost of Freedom"" today, Nigel Farage explained that Brexit gave ordinary people a chance to voice how they felt, and that's exactly what happened on Tuesday in the U.S.",Brexit Leader: U.S. & U.K. Relations Will Improve Under President Trump,link,http://insider.foxnews.com/2016/11/12/nigel-farage-neil-cavuto-us-uk-relations-will-improve-under-president-trump,2016-11-13 03:00:00,22839,444,1923,  understands recognizes great nations usOn Cost Freedom today Nigel Farage explained Brexit ordinary people chance voice felt exactly happened Tuesday,trump,Neutral
50,15704546335_10154787864666336,"Brunell Donald Kyei says that she supports peaceful protest, but she's urging anti-Donald J. Trump demonstrators to refrain from violence and vandalism.","Trump Surrogate to Protesters: 'Don't Hurt Your Fellow Americans, Don't Hurt Your Country'",link,http://insider.foxnews.com/2016/11/12/trump-surrogate-brunell-donald-kyei-advises-protesters-demonstrate-peacefully,2016-11-13 02:00:02,12275,1842,1369,Brunell  Kyei supports peaceful protest urging anti  demonstrators refrain violence vandalism,trump,Neutral
52,15704546335_10154788048296336,"President-elect Donald J. Trump won 290 of the so-called electoral votes, in the race to get a minimum 270.","Voters Target Electoral College Members to Switch Their Trump Ballots, Elect Clinton",link,http://www.foxnews.com/politics/2016/11/12/voters-targeted-electoral-college-members-to-switch-their-trump-ballots-elect-clinton.html,2016-11-12 21:20:00,20023,12118,4997,Presidentelect   won socalled electoral votes race minimum,trump,Neutral
