status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
5281959998_10150979919504999,"Some aspects of the 2016 election aren't open to interpretation (Sorry, Uncle Bill).",Election Facts to Keep Handy for Thanksgiving Dinner Discussion,link,http://www.nytimes.com/2016/11/23/upshot/election-facts-to-keep-handy-for-thanksgiving-dinner-discussion.html?smid=fb-nytimes&smtyp=cur,2016-11-23 15:00:00,41,6,6
5281959998_10150979898784999,"Donald J. Trump says his Thanksgiving will be a working holiday, as his team considers more candidates for administration jobs.",Donald Trump Is Choosing His Cabinet. Here’s the Latest Shortlist.,link,http://www.nytimes.com/interactive/2016/us/politics/donald-trump-administration.html?smid=fb-nytimes&smtyp=cur,2016-11-23 14:40:00,56,51,31
5281959998_10150979886914999,"One child coughed and vomited so violently through the night that her parents thought she wouldn't make it to morning. 20 miles away, another child looked, to his father, like a fish suffocating in the air.","Two Children, One Rich, One Poor, Gasping for Air in Delhi’s Smog",link,http://www.nytimes.com/2016/11/23/world/asia/india-delhi-pollution.html?smid=fb-nytimes&smtyp=cur,2016-11-23 14:20:00,80,15,56
5281959998_10150979862984999,"“Nobody remembers that at 21, I won 21 games,” Ralph Branca once said. “Nobody remembers that at 25, I had 75 wins. All they remember is the homer.”","Ralph Branca, Who Gave Up ‘Shot Heard Round the World,’ Dies at 90",link,http://www.nytimes.com/2016/11/23/sports/baseball/ralph-branca-who-gave-up-shot-heard-round-the-world-dies-at-90.html?smid=fb-nytimes&smtyp=cur,2016-11-23 14:00:00,131,14,75
5281959998_10150979824714999,"When Donald J. Trump takes office, he will have the power to upend the lives of more than 700,000 young people who have grown up in the U.S. after being brought here illegally as children.

Read on in The New York Times Opinion Section.",America Has Room for the Dreamers,link,http://www.nytimes.com/2016/11/23/opinion/america-has-room-for-the-dreamers.html?smid=fb-nytimes&smtyp=cur,2016-11-23 13:40:02,198,68,60
5281959998_10150979761139999,"Life at the end of the world can be lonely. 

Just ask these gauchos, who drive their flocks home once a year to ranches on Isla Grande, at the tip of South America. http://nyti.ms/2gm5XoA

Photos: Tomas Munita for The New York Times",Photos from The New York Times's post,photo,https://www.facebook.com/nytimes/photos/a.283559809998.33779.5281959998/10150979758504999/?type=3,2016-11-23 13:20:01,787,43,96
5281959998_10150979799589999,George Soros says he believes campaign statements from Donald J. Trump and his supporters were “directly responsible” for the recent attacks against immigrants and minorities.,George Soros Pledges $10 Million to Fight Hate Crimes,link,http://www.nytimes.com/2016/11/22/us/politics/george-soros-hate-crimes.html?smid=fb-nytimes&smtyp=cur,2016-11-23 13:00:00,11538,444,1606
5281959998_10150979786119999,"Betsy DeVos and Nikki Haley would be the first women in Donald J. Trump's cabinet, and Dr. Ben Carson would be the first African-American.",Trump Moves Diversify Cabinet; Picks Betsy DeVos for Education,link,http://www.nytimes.com/2016/11/23/us/politics/donald-trump-president-elect.html?smid=fb-nytimes&smtyp=cur,2016-11-23 12:40:00,361,358,96
5281959998_10150979800064999,We're at the Macy's Thanksgiving Day Parade balloon inflation on Thanksgiving Eve to watch Felix The Cat come to life. Comment with your questions and NYT journalists Madison Mills and Alexandra S. Levine will respond to some.,Macy's Thanksgiving Day Parade: Balloon Inflation,video,https://www.facebook.com/nytimes/videos/10150979800064999/,2016-11-23 12:28:10,2826,663,618
5281959998_1784125171804997,"""I'm waiting for a wall to come down on me, which means I've died,"" one Aleppo resident said of hearing an aircraft overhead. http://nyti.ms/2fRpbUT",Searching the Sky for Bombs in Aleppo,video,https://www.facebook.com/nytimes/videos/1784125171804997/,2016-11-23 12:20:00,139,41,159
